[2020-12-13 02:51:25] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 17 
[2020-12-13 02:51:25] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:17 
[2020-12-13 02:51:25] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 16 
[2020-12-13 02:51:25] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:16 
[2020-12-13 02:51:25] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 49 
[2020-12-13 02:51:25] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:49 
[2020-12-13 02:51:25] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:26] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 48 
[2020-12-13 02:51:26] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:26] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:48 
[2020-12-13 02:51:26] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:26] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 1 
[2020-12-13 02:51:26] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:26] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:1 
[2020-12-13 02:51:26] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:26] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 9 
[2020-12-13 02:51:26] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:26] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:9 
[2020-12-13 02:51:26] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:26] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 0 
[2020-12-13 02:51:26] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:26] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:0 
[2020-12-13 02:51:26] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:26] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 8 
[2020-12-13 02:51:26] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:26] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:8 
[2020-12-13 02:51:26] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:26] [INFO   ] Peer 1001 got the 'not interested' message from Peer: 1002 
[2020-12-13 02:51:26] [INFO   ] Peer 1001 got the 'not interested' message from Peer: 1002 
[2020-12-13 02:51:26] [INFO   ] Peer: 1001 starts connecting to Peer: 1003 
[2020-12-13 02:51:26] [INFO   ] Peer: 1001 is connected from Peer: 1003 
[2020-12-13 02:51:26] [INFO   ] BITFIELD Message construction in progress 
[2020-12-13 02:51:26] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:26] [INFO   ] Peer 1001 is connected from Peer 1004. 
[2020-12-13 02:51:26] [INFO   ] Peer 1001 got the 'interested' message from peer:1003 
[2020-12-13 02:51:28] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1003 for the piece index:15 
[2020-12-13 02:51:28] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:28] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1003 for the piece index:23 
[2020-12-13 02:51:28] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:28] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1003 for the piece index:55 
[2020-12-13 02:51:28] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:28] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1003 for the piece index:47 
[2020-12-13 02:51:28] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:28] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1003 for the piece index:46 
[2020-12-13 02:51:28] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:28] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1003 for the piece index:54 
[2020-12-13 02:51:28] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:28] [INFO   ] UNCHOKE Message construction in progress 
[2020-12-13 02:51:28] [INFO   ] Peer 1001 with preferred neighbours:[1003] 
[2020-12-13 02:51:28] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1003 for the pieceIndex: 45 
[2020-12-13 02:51:28] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:28] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1003 for the piece index:45 
[2020-12-13 02:51:28] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:28] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1003 for the pieceIndex: 22 
